Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
USC00012727,USC00501312,USC00020775,USC00030806,USC00040943,USC00050797,USC00068906,,USC00083171,USC00091640,USC00514091,USC00101363,USC00111835,USC00123091,USC00130793,USC00140810,USC00151345,USC00162478,USC00172878,USC00180460,USC00191582,USC00200758,USC00210939,USC00224377,USC00230856,USC00240801,USC00251345,USC00262078,USC00273177,USC00287301,USC00291332,USC00300540,USC00312200,USC00321498,USC00331178,USC00341162,USC00350652,USC00360492,,USC00384169,USC00390574,USC00404033,USC00410482,USC00421020,USC00435740,USC00440982,USC00450749,USC00464378,USC00471044,USC00482242
USC00012840,USC00501447,USC00020800,USC00030828,USC00041018,USC00050945,USC00069568,,USC00085099,USC00091732,USC00514489,USC00101380,USC00112048,USC00123095,USC00131319,USC00141435,USC00152407,USC00163079,USC00173261,USC00180475,USC00191774,USC00200770,USC00211063,USC00224869,USC00230887,USC00240802,USC00251361,USC00262096,USC00273409,USC00287545,USC00291345,USC00300621,USC00312515,USC00321766,USC00331197,USC00341243,USC00351174,USC00360753,,USC00384197,USC00390649,USC00404659,USC00410493,USC00421149,USC00436500,USC00441082,USC00450826,USC00464559,USC00471062,USC00482375
USC00012883,USC00501475,USC00020808,USC00030830,USC00041075,USC00050950,USC00069775,,USC00085990,USC00091965,USC00514620,USC00101408,USC00112193,USC00123104,USC00131394,USC00141522,USC00152409,USC00163327,USC00173417,USC00180565,USC00191950,USC00200842,USC00211065,USC00224939,USC00230980,USC00240814,USC00251365,USC00262390,USC00273658,USC00287936,USC00291445,USC00300668,USC00312732,USC00321871,USC00331245,USC00341684,USC00351433,USC00360754,,USC00384205,USC00390760,USC00404871,USC00410498,USC00421272,USC00436712,USC00441121,USC00450844,USC00464763,USC00471064,USC00482399
USC00013105,USC00501641,USC00020855,USC00030832,USC00041606,USC00051017,USW00014752,,USC00086048,USC00091973,USC00514634,USC00101422,USC00112348,USC00123207,USC00131528,USC00141559,USC00152512,USC00163433,USC00174193,USC00180701,USC00192026,USC00200924,USC00211074,USC00225062,USC00231037,USC00240819,USC00251450,USC00262394,USC00274059,USC00305816,USC00291450,USC00300870,USC00312740,USC00322304,USC00331278,USC00341724,USC00351448,USC00360763,,USC00384296,USC00390778,USC00405035,USC00410518,USC00421273,USC00436761,USC00441375,USC00450845,USC00465353,USC00471205,USC00482410
USC00013154,USC00502107,USC00020949,USC00030936,USC00041607,USC00051018,USW00054788,,USC00086065,USC00091982,USC00514660,USC00101551,USC00112497,USC00123418,USC00131651,USC00141602,USC00152575,USC00163681,USC00175304,USC00180702,USC00192451,USC00200925,USC00211107,USC00225070,USC00231087,USC00240824,USC00251560,USC00262497,USC00274329,,USC00291452,USC00301101,USC00312837,USC00322385,USC00331288,USC00341891,USC00351571,USC00360868,,USC00385278,USC00390834,USC00405089,USC00410586,USC00421308,USC00436893,USC00441471,USC00450882,USC00465440,USC00471605,USC00482466
USC00013160,USC00502112,USC00020958,USC00031442,USC00041624,USC00051060,,,USC00086078,USC00092006,USC00514680,USC00101663,USC00112614,USC00123497,USC00131705,USC00141612,USC00152775,USC00163741,USC00175305,USC00180703,USC00192501,USC00200972,USC00211198,USC00225361,USC00231101,USC00240827,USC00251660,USC00262570,USC00274399,,USC00291454,USC00301391,USC00312971,USC00322482,USC00331390,USC00341927,USC00351682,USC00361001,,USC00385290,USC00391032,USC00405358,USC00410690,USC00421432,USC00437025,USC00441570,USC00451189,USC00465626,USC00471618,USC00482580
USC00013308,USC00502126,USC00021169,USC00031455,USC00041700,USC00051071,,,USC00086480,USC00092055,USC00514742,USC00101671,USC00112719,USC00123513,USC00131710,USC00141659,USC00152903,USC00163794,USC00175314,USC00180704,USC00192806,USC00201150,USC00211227,USC00225704,USC00231145,USC00240923,USC00251990,USC00262656,USC00274475,,USC00291469,USC00301436,USC00313101,USC00322536,USC00331515,USC00341954,USC00351877,USC00361130,,USC00385306,USC00391049,USC00405451,USC00410958,USC00421472,USC00437026,USC00441585,USC00451233,USC00465705,USC00472209,USC00482725
USC00013519,USC00502149,USC00021248,USC00031459,USC00041715,USC00051121,,,USC00087424,USC00092408,USC00516082,USC00101810,USC00112750,USC00123650,USC00131731,USC00141696,USC00152908,USC00163864,USC00175460,USC00180705,USC00192807,USC00201225,USC00211245,USC00225705,USC00231189,USC00241040,USC00252065,USC00262662,USC00274804,,USC00291480,USC00301593,USC00313106,USC00322570,USC00331523,USC00342011,USC00352112,USC00361139,,USC00385362,USC00391392,USC00405525,USC00410984,USC00421500,USC00437032,USC00441598,USC00451257,USC00465706,USC00472314,USC00482995
USC00013573,USC00502350,USC00021314,USC00031596,USC00041758,USC00051179,,,USC00087600,USC00092485,USC00516546,USC00102707,USC00112931,USC00123777,USC00131848,USC00141858,USC00152961,USC00164320,USC00175736,USC00180706,USC00193229,USC00201238,USC00211250,USC00226351,USC00231212,USC00241342,USC00252100,USC00262708,USC00275350,,USC00291515,USC00301595,USC00313150,USC00322605,USC00331662,USC00342125,USC00352135,USC00361234,,USC00386293,USC00391474,USC00405595,USC00410996,USC00421792,USC00437054,USC00441606,USC00451395,USC00465739,USC00472826,USC00483031
USC00013575,USC00502457,USC00021330,USC00031730,USC00041912,USC00051186,,,USC00087758,USC00092493,USC00516588,USC00102853,USC00112993,USC00123915,USC00131954,USC00142213,USC00153295,USC00164674,USC00176011,USC00180732,USC00193270,USC00201361,USC00211263,USC00226527,USC00231216,USC00241460,USC00252145,USC00262840,USC00275712,,USC00291630,USC00301623,USC00313152,USC00322695,USC00331818,USC00342318,USC00352173,USC00361324,,USC00386830,USC00391496,USC00405862,USC00411000,USC00421918,USC00437098,USC00441746,USC00451400,USC00465871,USC00472842,USC00483045
