Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
USC00018385,USC00503573,USC00023635,USC00034666,USC00043987,USC00052668,,,,USC00095989,,USC00105376,USC00114805,USC00125658,USC00134049,USC00143984,USC00155569,USC00168067,,USC00189035,USC00199972,USC00202833,USC00213921,USC00229850,USC00233079,USC00242409,USC00254790,USC00265191,,,USC00293505,USC00303416,USC00314970,USC00325210,USC00334926,USC00345063,USC00354357,USC00363047,,,USC00393294,USC00409455,USC00411694,USC00424467,,USC00445096,USC00454191,USC00469522,USC00474555,USC00485355
USC00018391,USC00503585,USC00023668,USC00034938,USC00044082,USC00052761,,,,USC00096038,,USC00105466,USC00114814,USC00125837,USC00134228,USC00143989,USC00155648,USC00168137,,USC00280346,USW00004779,USC00203099,USC00213965,USC00229860,USC00233094,USC00242421,USC00254810,USC00265362,,,USC00293528,USC00303464,USC00315177,USC00325211,USC00334927,USC00345216,USC00354403,USC00363379,,,USC00393302,USC00409481,USC00411720,USC00424527,,USC00445117,USC00454201,USC00469605,USC00475298,USC00485372
USC00018403,USC00503605,USC00023961,USC00035010,USC00044156,USC00052803,,,,USC00096087,,USC00105567,USC00114823,USC00126001,USC00134502,USC00144008,USC00155694,USC00168431,,USC00280690,USW00014753,USC00203337,USC00214068,USW00013939,USC00233102,USC00242689,USC00254906,USC00265371,,,USC00293533,USC00303503,USC00315340,USC00325220,USC00334942,USC00345468,USC00354420,USC00363394,,,USC00393316,USC00409492,USC00411772,USC00424542,,USC00445121,USC00454338,USC00469610,USC00475335,USC00485374
USC00400235,USC00503650,USC00023981,USC00035018,USC00044158,USC00052932,,,,USC00096093,,USC00105678,USC00114837,USC00126018,USC00134547,USC00144087,USC00155834,USC00169235,,USC00285576,USW00014775,USC00203379,USC00214077,USW00013956,USC00233119,USC00242738,USC00255080,USC00265392,,,USC00293565,USC00303662,USC00315356,USC00325320,USC00335268,USC00345509,USC00354615,USC00363417,,,USC00393452,USC00409752,USC00411778,USC00425182,,USC00445150,USC00454360,USW00003802,USC00475364,USC00485435
USW00013871,USC00503670,USC00024053,USC00035036,USC00044227,USC00052947,,,,USC00096148,,USC00105716,USC00114991,USC00126164,USC00134585,USC00144089,USC00156117,USC00169369,,USC00287936,,USC00203391,USC00214093,USW00053858,USC00233369,USC00242783,USC00255310,USC00265400,,,USC00293587,USC00303781,USC00315771,USC00325479,USC00335296,USC00345855,USC00354732,USC00363437,,,USC00393572,USC00409800,USC00411800,USC00425190,,USC00445204,USC00454394,USW00014894,USC00475499,USC00485467
USW00013885,USC00503672,USC00024089,USC00035038,USC00044278,USC00052955,,,,USC00096219,,USC00105841,USC00115272,USC00126179,USC00134735,USC00144104,USC00156122,USC00169631,,USC00360222,,USC00203421,USC00214096,USW00093919,USC00233375,USC00242825,USC00255840,USC00265705,,,USC00293588,USC00303786,USC00315838,USC00325484,USC00335505,USC00346130,USC00355050,USC00363438,,,USC00393574,USW00003811,USC00411903,USC00425247,,USC00445300,USC00454406,,USC00475516,USC00485506
USW00053864,USC00503910,USC00024453,USC00035046,USC00044297,USC00052997,,,,USC00096244,,USC00105897,USC00115280,USC00126400,USC00134758,USC00144109,USC00156155,USC00169803,,USC00360229,,USC00203429,USC00214103,,USC00233416,USC00242827,USC00255868,USC00265722,,,USC00293626,USC00303851,USC00315890,USC00325492,USC00335669,USC00346405,USC00355092,USC00363451,,,USC00393608,USW00003847,USC00411911,USC00425477,,USC00445453,USC00454414,,USC00475525,USC00485770
USW00093806,USC00503925,USC00024578,USC00035112,USC00044590,USC00053006,,,,USC00096335,,USC00105972,USC00115294,USC00126465,USC00135517,USC00144114,USC00156353,USC00169804,,USC00360763,,USC00203504,USC00214106,,USC00233451,USC00242867,USC00256057,USC00265818,,,USC00293706,USC00303955,USC00315922,USC00325813,USC00335857,USC00346485,USC00355162,USC00363632,,,USC00393677,,USC00411934,USC00425930,,USC00445595,USC00454446,,USC00475563,USC00485780
,USC00505010,USC00024586,USC00035187,USC00044675,USC00053146,,,,USC00097046,,USC00106053,USC00115326,USC00126864,USC00135584,USC00144138,USC00156805,USC00226780,,USC00361234,,USC00203527,USC00214213,,USC00233483,USC00243008,USC00256375,USC00265880,,,USC00293775,USC00303961,USC00315923,USC00325818,USC00335908,USC00347196,USC00355384,USC00363651,,,USC00393760,,USC00411974,USC00426123,,USC00445931,USC00454486,,USC00475573,USC00486000
,USC00505051,USC00024683,USC00035358,USC00044701,USC00053359,,,,USC00097276,,USC00106080,USC00115342,USC00126872,USC00135769,USC00144178,USC00156882,,,USC00361591,,USC00203616,USC00214233,,USC00233799,USC00243013,USC00256385,USC00265990,,,USC00293792,USC00303983,USC00315996,USC00326015,USC00336405,USC00347246,USC00355389,USC00363662,,,USC00393764,,USC00411995,USC00426135,,USC00446470,USC00454572,,USC00475581,USC00486120
,USC00505136,USC00024702,USC00035376,USC00044705,USC00053446,,,,USC00097740,,USC00106174,USC00115372,USC00126989,USC00135796,USC00144313,USC00156988,,,USC00361652,,USC00204078,USC00214418,,USC00234019,USC00243089,USC00256880,USC00266005,,,USC00293969,USC00304045,USC00316044,USC00326155,USC00336498,USC00347254,USC00355392,USC00363665,,,USC00393832,,USC00412012,USC00426181,,USC00446475,USC00454601,,USC00475718,USC00486165
,USC00505374,USC00024849,USC00035508,USC00044838,USC00053486,,,,USC00097777,,USC00106388,USC00115380,USC00127370,USC00135952,USC00144712,USC00157130,,,USC00362459,,USC00204153,USC00214809,,USC00234136,USC00243098,USC00257002,USC00266055,,,USC00294028,USC00304555,USC00316256,USC00326158,USC00337559,USC00347309,USC00355505,USC00363698,,,USC00393838,,USC00412014,USC00426404,,USC00446573,USC00454619,,USC00475786,USC00486175
,USC00505397,USC00024872,USC00035512,USC00044863,USC00053489,,,,USC00097808,,USC00106421,USC00115405,USC00127482,USC00136103,USC00144982,USC00157215,,,USC00362537,,USC00204425,USC00214884,,USC00234154,USC00243157,USC00257055,USC00266148,,,USC00294101,USC00304647,USC00316341,USC00326195,USC00337926,USC00347327,USC00355515,USC00363928,,,USC00393857,,USC00412082,USC00426405,,USC00446626,USC00454748,,USC00475863,USC00486185
,USC00505728,USC00024999,USC00035562,USC00044997,USC00053496,,,,USC00097827,,USC00106424,USC00115413,USC00127522,USC00136196,USC00145039,USC00157592,,,USC00363437,,USC00204655,USC00214918,,USC00234158,USC00243175,USC00257515,USC00266242,,,USC00294112,USC00304849,USC00316452,USC00326255,USC00337935,USC00347579,USC00355545,USC00364019,,,USC00393868,,USC00412125,USC00426534,,USC00446656,USC00454764,,USC00476510,USC00486195
,USC00505734,USC00025270,USC00035563,USC00045026,USC00053508,,,,USC00098064,,USC00106493,USC00115493,USC00127646,USC00136305,USC00145063,USC00157652,,,USC00363662,,USC00204967,USC00214989,,USC00234192,USC00243280,USC00257668,USC00266252,,,USC00294127,USC00304996,USC00316778,USC00326620,USC00338025,USC00347785,USC00355593,USC00364190,,,USC00393945,,USC00412173,USC00426538,,USC00446692,USC00454769,,USC00476594,USC00486428
,USC00505757,USC00025312,USC00035576,USC00045120,USC00053652,,,,USC00098476,,USC00106681,USC00115712,USC00127724,USC00136316,USC00145115,USC00157677,,,USC00363665,,USC00204969,USC00214990,,USC00234226,USC00243372,USC00258040,USC00266504,,,USC00294366,USC00305233,USC00317079,USC00326743,USC00338062,USC00348042,USC00355610,USC00364214,,,USC00394184,,USC00412235,USC00426568,,USC00446747,USC00454782,,USC00476646,USC00486595
,USC00505778,USC00025412,USC00036248,USC00045182,USC00053867,,,,USC00098496,,USC00106764,USC00115825,USC00127747,USC00136527,USC00145248,USC00158259,,,USC00363698,,USC00205050,USC00214994,,USC00234382,USC00243434,USC00258320,USC00266514,,,USC00294719,USC00305291,USC00317097,USC00326857,USC00338313,USC00348110,USC00356004,USC00364258,,,USC00394206,,USC00412238,USC00426652,,USC00446906,USC00455086,,USC00476678,USC00487031
,USC00505880,USC00025494,USC00036768,USC00045233,USC00053975,,,,USC00098547,,USC00106891,USC00115841,USC00127755,USC00136719,USC00145306,USC00158551,,,USC00364019,,USC00205073,USC00215012,,USC00234417,USC00243437,USC00258360,USC00266574,,,USC00294742,USC00305310,USC00317197,USC00327027,USC00338325,USC00348627,USC00356021,USC00364370,,,USC00394413,,USC00412239,USC00426910,,USC00446926,USC00455110,,USC00476859,USC00487078
,USC00505881,USC00025512,USC00036804,USC00045377,USC00054054,,,,USC00098666,,USC00106930,USC00115846,USC00128290,USC00136800,USC00145371,USC00158709,,,USC00364758,,USC00205452,USC00215020,,USC00234544,USC00243445,USC00258395,USC00266630,,,USC00294770,USC00305334,USC00317202,USC00327120,USC00338353,USC00348708,USC00356033,USC00364385,,,USC00394556,,USC00412243,USC00426915,,USC00446955,USC00455133,,USC00476922,USC00487235
,USC00506147,USC00025635,USC00036823,USC00045378,USC00054135,,,,USC00098740,,USC00106985,USC00115927,USC00128352,USC00136940,USC00145421,USW00003814,,,USC00364763,,USC00205488,USC00215073,,USC00234625,USC00243617,USC00258410,USC00267319,,,USC00294858,USC00305377,USC00317319,USC00327270,USC00338656,USC00348884,USC00356035,USC00364481,,,USC00395088,,USC00412266,USC00426919,,USC00447275,USC00455156,,USC00477052,USC00487236
,USC00506157,USC00025700,USC00036918,USC00045571,USC00054172,,,,USC00099124,,USC00107386,USC00115943,USC00128437,USC00137410,USC00145483,USW00003849,,,USC00364768,,USC00205531,USC00215175,,USC00234850,USC00243712,USC00258751,USC00267609,,,USC00294936,USC00305380,USC00317346,USC00328872,USC00338794,USC00348951,USC00356173,USC00364758,,,USC00395154,,USC00412352,USC00427026,,USC00447278,USC00455613,,USC00477113,USC00487240
,USC00506227,USC00025733,USC00036928,USC00045779,USC00054234,,,,USC00099466,,USC00107536,USC00115950,USC00128528,USC00137594,USC00145528,,,,USC00364896,,USC00205533,USC00215488,,USC00234919,USC00243727,USC00258795,USC00267612,,,USC00294960,USC00305540,USC00317789,USC00328877,USC00338822,USC00349017,USC00356179,USC00364763,,,USC00395184,,USC00412403,USC00427408,,USC00447435,USC00455670,,USC00477115,USC00487528
,USC00506656,USC00025780,USC00037262,USC00045790,USC00054538,,,,USC00099486,,USC00107563,USC00115961,USC00128698,USC00137613,USC00146076,,,,USC00365623,,USC00205567,USC00215586,,USC00234978,USC00243731,USC00258806,USC00267682,,,USC00295079,USC00305604,USC00318492,USC00328913,USC00338870,USC00349101,USC00356213,USC00364768,,,USC00395281,,USC00412408,USC00427559,,USC00447492,USC00455673,,USC00477132,USC00487548
,USC00506727,USC00025921,USC00037712,USC00045795,USC00054542,,,,USC00405429,,USC00107721,USC00116025,USC00128999,USC00137664,USC00146084,,,,USC00366028,,USC00205591,USC00215589,,USC00234982,USC00243736,USC00258875,USC00267690,,,USC00295290,USC00305606,USC00318500,USC00328970,USC00339220,USC00349247,USC00356243,USC00364896,,,USC00395285,,USC00412617,USC00427753,,USC00447501,USC00455674,,USC00477142,USC00487555
,USC00506760,USC00026124,USC00037772,USC00045802,USC00054546,,,,USW00013861,,USC00107858,USC00116080,USC00129064,USC00137844,USC00146100,,,,USC00366194,,USC00205892,USC00215838,,USC00235050,USC00243749,USC00258878,USC00267691,,,USC00295353,USC00305840,USC00318519,USC00328990,USW00003871,USC00349278,USC00356251,USC00365104,,,USC00395320,,USC00412676,USC00427800,,USC00447541,USC00455678,,USC00477174,USC00487683
,USC00506769,USC00026180,USW00003918,USC00045901,USC00054686,,,,,,USC00108022,USC00116093,USC00129138,USC00137859,USC00146115,,,,USC00366879,,USC00206003,USC00215842,,USC00235093,USC00243753,USC00258905,USC00268160,,,USC00295490,USC00306028,USC00318694,USC00329155,USW00093812,USC00349291,USC00356500,USC00365109,,,USC00395360,,USC00412679,USC00428478,,USC00447904,USC00455688,,USC00478164,USC00487760
,USC00507095,USC00026186,USW00003962,USC00046006,USC00054724,,,,,,USC00108076,USC00116157,USC00129253,USC00137892,USC00146242,,,,USC00366884,,USC00206013,USC00215989,,USC00235227,USC00243885,USC00258915,USC00429383,,,USC00295502,USC00306047,USC00318744,USC00329233,USW00093818,USC00349629,USC00356550,USC00365212,,,USC00395381,,USC00412792,USC00428771,,USC00447925,USC00455704,,USC00478229,USC00487830
,USC00507105,USC00026242,USW00013971,USC00046154,USC00054734,,,,,,USC00108080,USC00116159,USC00129271,USC00137925,USC00146333,,,,USC00366899,,USC00206398,USC00216007,,USC00235307,USC00243888,USC00258920,USS0015N09S,,,USC00295516,USC00306062,USC00318754,USC00329238,USW00093824,USC00349760,USC00356634,USC00365336,,,USC00395406,,USC00412818,USC00428900,,USC00448084,USC00455774,,USC00478267,USC00488124
,USC00507304,USC00026250,USW00053919,USC00046305,USC00054736,,,,,,USC00108089,USC00116200,USC00129381,USC00138255,USC00146378,,,,USC00367938,,USC00206404,USC00216547,,USC00235492,USC00243915,USC00258935,USS0015N10S,,,USC00295560,USC00306314,USC00318906,USC00329246,USW00093891,USC00349985,USC00356717,USC00365573,,,USC00395421,,USC00412906,USW00023177,,USC00448129,USC00455832,,USC00478316,USC00488157
,USC00507365,USC00026471,USW00053922,USC00046336,USC00054742,,,,,,USC00108500,USC00116819,USC00129427,USC00138266,USC00146414,,,,USC00368073,,USC00206442,USC00216565,,USC00235700,USC00243929,USC00259090,USS0015N11S,,,USC00295610,USC00306368,USC00318964,USC00329333,,USW00003030,USC00356749,USC00365623,,,USC00395432,,USC00412950,USW00024175,,USC00448600,USC00455840,,USC00478349,USC00488852
,USC00507444,USC00026581,USW00093988,USC00046399,USC00054750,,,,,,USC00108928,USC00116837,USC00129724,USC00138296,USC00146427,,,,USC00369420,,USC00206510,USC00216822,,USC00235704,USC00243934,USC00259193,USW00024172,,,USC00295691,USC00306538,USC00319026,USC00329400,,USW00003959,USC00356750,USC00365651,,,USC00395456,,USC00412965,,,USC00448737,USC00455946,,USC00478376,USC00488888
,USC00507513,USC00026597,,USC00046528,USC00054762,,,,,,USC00108937,USC00116998,USW00013803,USC00138339,USC00146746,,,,USC00369503,,USC00206587,USC00216839,,USC00236040,USC00243939,USC00259200,,,,USC00295725,USC00306747,USC00319081,USW00014912,,USW00013969,USC00356820,USC00365686,,,USC00395481,,USC00413214,,,USC00448800,USC00456039,,USC00478540,USC00488997
,USC00507570,USC00026601,,USC00046597,USC00054825,,,,,,USC00109000,USC00117004,USW00094895,USC00138806,USC00147093,,,,USC00369650,,USC00206590,USC00217087,,USC00236641,USC00243984,USC00393440,,,,USC00295754,USC00306789,USC00319100,USW00014916,,USW00013975,USC00357000,USC00365738,,,USC00395531,,USC00413262,,,USC00448803,USC00456262,,USC00478561,USC00489467
,USC00507778,USC00026603,,USC00046624,USC00055048,,,,,,USC00109029,USC00117067,,USC00138852,USC00147153,,,,USC00440090,,USC00206642,USC00217107,,USC00236775,USC00244020,USW00014904,,,,USC00296061,USC00306867,USC00319122,USW00014919,,USW00053913,USC00357082,USC00366022,,,USC00395547,,USC00413265,,,USC00448837,USC00456410,,USC00478723,USC00489580
,USC00507780,USC00026796,,USC00046635,USC00055056,,,,,,USC00109293,USC00117187,,USW00014930,USC00147195,,,,USC00440097,,USC00206661,USC00217326,,USC00236777,USC00244038,USW00024020,,,,USC00296079,USC00306965,USC00319147,USW00094041,,USW00093986,USC00357169,USC00366028,,,USC00395561,,USC00413266,,,USC00448938,USC00456534,,USC00478750,USS0009F24S
,USC00508107,USC00027081,,USC00046657,USC00055116,,,,,,USC00109294,USC00117336,,USW00014931,USC00147534,,,,USC00441687,,USC00206662,USC00217602,,USC00236799,USC00244084,USW00024030,,,,USC00296098,USC00307033,USC00319440,,,,USC00357208,USC00366037,,,USC00395638,,USC00413341,,,USW00013731,USC00456553,,USC00478827,USS0009G09S
,USC00508341,USC00027281,,USC00046678,USC00055402,,,,,,USC00109299,USC00117345,,USW00014932,USC00147546,,,,USC00442009,,USC00206663,USC00217740,,USC00236826,USC00244133,,,,,USC00296465,USC00307035,USC00319700,,,,USC00357235,USC00366042,,,USC00395641,,USC00413411,,,USW00013732,USC00456624,,USC00478910,USS0010E09S
,USC00508350,USC00027326,,USC00047228,USC00055408,,,,,,USC00480124,USC00117349,,USW00014933,USC00148038,,,,USC00442635,,USC00206840,USC00217907,,USC00236874,USC00244180,,,,,USC00296619,USC00307115,USC00319704,,,,USC00357277,USC00366055,,,USC00395648,,USC00413415,,,USW00013733,USC00456747,,USC00479144,USW00024019
,USC00508375,USC00027388,,USC00047231,USC00055422,,,,,,USS0014F04S,USC00117457,,USW00014934,USC00148340,,,,USC00442809,,USC00207068,USC00218254,,USC00237116,USC00244364,,,,,USC00296630,USC00307134,USW00013746,,,,USC00357285,USC00366090,,,USC00395669,,USC00413420,,,USW00013742,USC00456846,,USC00479190,USW00024022
,USC00508525,USC00027390,,USC00047253,USC00055427,,,,,,USS0015E09S,USC00117487,,USW00014937,USC00148341,,,,USC00444101,,USC00207094,USC00218311,,USC00237122,USC00244506,,,,,USC00296659,USC00307210,USW00013872,,,,USC00357310,USC00366098,,,USC00395671,,USC00413485,,,USW00013868,USC00456864,,USC00479236,USW00024027
,USC00508547,USC00027435,,USC00047641,USC00055484,,,,,,USS0015F04S,USC00117590,,USW00014940,USC00148427,,,,USC00444600,,USC00207188,USC00218323,,USC00237263,USC00244512,,,,,USC00296676,USC00307250,,,,,USC00357533,USC00366111,,,USC00395691,,USC00413546,,,USW00093739,USC00457038,,USC00479319,USW00024031
,USC00508554,USC00027462,,USC00047668,USC00056023,,,,,,USS0016A14S,USC00117636,,USW00014943,USC00148535,,,,USC00445338,,USC00207190,USC00218419,,USC00237309,USC00244522,,,,,USC00296687,USC00307291,,,,,USC00357559,USC00366151,,,USC00395711,,USC00413591,,,,USC00457059,,USW00014921,USW00094173
,USC00508594,USC00027475,,USC00047672,USC00056266,,,,,,USW00004112,USC00117876,,USW00014950,USC00148563,,,,USC00445983,,USC00207217,USC00218421,,USC00237388,USC00244527,,,,,USC00296804,USC00307317,,,,,USC00357586,USC00366194,,,USC00395733,,USC00413618,,,,USC00457340,,USW00094930,
,USC00508727,USC00027488,,USC00047689,USC00056271,,,,,,USW00024131,USC00117952,,USW00014990,USC00148578,,,,USC00446161,,USC00207220,USC00218543,,USC00237452,USC00244530,,,,,USC00297180,USC00307480,,,,,USC00357631,USC00366198,,,USC00396054,,USC00413622,,,,USC00457342,,,
,USC00508745,USC00027496,,USC00047711,USC00056280,,,,,,USW00024133,USC00118147,,USW00014993,USC00148648,,,,USC00446533,,USC00207222,USC00218579,,USC00237465,USC00244538,,,,,USC00297226,USC00307587,,,,,USC00358007,USC00366879,,,USC00397073,,USC00413623,,,,USC00457522,,,
,USC00508813,USC00027530,,USC00047813,USC00056306,,,,,,USW00094143,USC00118186,,,USC00148914,,,,USC00448224,,USC00207253,USC00218618,,USC00237475,USC00244545,,,,,USC00297254,USC00307659,,,,,USC00358095,USC00366884,,,USW00024024,,USC00413640,,,,USC00457544,,,
,USC00508855,USC00027555,,USC00047821,USC00056307,,,,,,,USC00118353,,,USC00148964,,,,USC00448323,,USC00207280,USC00218673,,USC00238051,USC00244563,,,,,USC00297279,USC00307728,,,,,USC00358245,USC00366899,,,USW00024025,,USC00413668,,,,USC00457657,,,
,USC00508884,USC00027560,,USC00048025,USC00056318,,,,,,,USC00118389,,,USC00230147,,,,USC00448331,,USC00207312,USC00218679,,USC00238184,USC00244645,,,,,USC00297280,USC00307742,,,,,USC00358338,USC00367116,,,USW00094950,,USC00413673,,,,USC00457680,,,
,USC00508886,USC00027567,,USC00048045,USC00056320,,,,,,,USC00118452,,,USW00003919,,,,USC00448829,,USC00207350,USC00218700,,USC00238610,USC00244663,,,,,USC00297477,USC00307842,,,,,USC00358407,USC00367217,,,,,USC00413680,,,,USC00457690,,,
,USC00508915,USC00027708,,USC00048122,USC00056323,,,,,,,USC00118460,,,USW00003936,,,,USC00449025,,USC00207358,USC00218808,,USC00238620,USC00244675,,,,,USC00297588,USC00308036,,,,,USC00358410,USC00367229,,,,,USC00413686,,,,USC00457727,,,
,USC00508945,USC00027849,,USC00048207,USC00056326,,,,,,,USC00118604,,,USW00013980,,,,USC00449151,,USC00207407,USC00219015,,USC00238664,USC00244820,,,,,USC00297930,USC00308080,,,,,USC00358420,USC00367312,,,,,USC00413734,,,,USC00457773,,,
,USC00509085,USC00027855,,USC00048380,USC00056559,,,,,,,USC00118634,,,USW00013981,,,,USW00013777,,USC00207515,USC00219134,,USC00238712,USC00244954,,,,,USC00298087,USC00308086,,,,,USC00358494,USC00367313,,,,,USC00413778,,,,USC00457794,,,
,USC00509410,USC00028326,,USC00048463,USC00056651,,,,,,,USC00118684,,,USW00023064,,,,USW00013779,,USC00207684,USW00014992,,USC00238740,USC00244978,,,,,USC00298088,USC00308088,,,,,USC00358536,USC00367322,,,,,USC00413884,,,,USC00457933,,,
,USC00509421,USC00028468,,USC00048479,USC00056765,,,,,,,USC00118756,,,USW00093990,,,,USW00014712,,USC00208172,,,USC00238746,USC00244979,,,,,USC00298095,USC00308096,,,,,USC00358588,USC00367338,,,,,USC00413972,,,,USC00457956,,,
,USC00509428,USC00028796,,USC00048562,USC00056767,,,,,,,USC00118860,,,USW00093997,,,,USW00093720,,USC00208202,,,USW00003935,USC00245000,,,,,USC00298650,USC00308104,,,,,USC00358833,USC00367409,,,,,USC00414058,,,,USC00458034,,,
,USC00509460,USC00028800,,USC00048587,USC00056816,,,,,,,USC00118916,,,,,,,USW00093725,,USC00208249,,,USW00013982,USC00245011,,,,,USC00298769,USC00308248,,,,,USC00358837,USC00367417,,,,,USC00414182,,,,USC00458089,,,
,USC00509702,USC00028865,,USC00048655,USC00056977,,,,,,,USC00119002,,,,,,,,,USC00208252,,,USW00093958,USC00245015,,,,,USC00298919,USC00308304,,,,,USC00358879,USC00367477,,,,,USC00414328,,,,USC00458207,,,
,USC00509765,USC00028895,,USC00048752,USC00057187,,,,,,,USC00119029,,,,,,,,,USC00208345,,,USW00093994,USC00245123,,,,,USC00299031,USC00308321,,,,,USC00358884,USC00367578,,,,,USC00414333,,,,USC00458278,,,
,USC00509859,USC00029007,,USC00048829,USC00057249,,,,,,,USC00119822,,,,,,,,,USC00208417,,,USW00093995,USC00245144,,,,,USC00299085,USC00308386,,,,,USC00358985,USC00367782,,,,,USC00414348,,,,USC00458442,,,
,USW00025323,USC00029015,,USC00048873,USC00057287,,,,,,,USC00237578,,,,,,,,,USC00208434,,,USW00093996,USC00245146,,,,,USC00299113,USC00308388,,,,,USC00358997,USC00367863,,,,,USC00414483,,,,USC00458508,,,
,USW00025506,USC00029150,,USC00048904,USC00057296,,,,,,,USW00014810,,,,,,,,,USC00208443,,,,USC00245153,,,,,USC00299128,USC00308578,,,,,USC00359051,USC00367931,,,,,USC00414517,,,,USC00458521,,,
,USW00025507,USC00029156,,USC00048914,USC00057309,,,,,,,USW00014844,,,,,,,,,USC00208506,,,,USC00245164,,,,,USC00299148,USC00308721,,,,,USC00359068,USC00367938,,,,,USC00414524,,,,USC00458540,,,
,USW00026422,USC00029158,,USC00049024,USC00057315,,,,,,,USW00014874,,,,,,,,,USC00208650,,,,USC00245177,,,,,USC00299165,USC00308733,,,,,USC00359176,USC00368011,,,,,USC00414525,,,,USC00458959,,,
,USW00026425,USC00029211,,USC00049026,USC00057317,,,,,,,USW00093809,,,,,,,,,USC00208774,,,,USC00245211,,,,,USC00299304,USC00308773,,,,,USS0018D19S,USC00368073,,,,,USC00414563,,,,USC00458999,,,
,USW00026453,USC00029271,,USC00049040,USC00057560,,,,,,,USW00093989,,,,,,,,,USC00208800,,,,USC00245337,,,,,USC00299330,USC00308831,,,,,USS0020G06S,USC00368078,,,,,USC00414570,,,,USC00459074,,,
,USW00026502,USC00029287,,USC00049056,USC00057572,,,,,,,,,,,,,,,,USC00208890,,,,USC00245338,,,,,USC00299496,USC00308833,,,,,USS0022F05S,USC00368359,,,,,USC00414577,,,,USC00459079,,,
,USW00026509,USC00029309,,USC00049087,USC00057582,,,,,,,,,,,,,,,,USC00208941,,,,USC00245556,,,,,USC00299754,USC00308906,,,,,USW00024148,USC00368668,,,,,USC00414597,,,,USC00459130,,,
,USW00026529,USC00029334,,USC00049099,USC00057618,,,,,,,,,,,,,,,,USC00209188,,,,USC00245666,,,,,USC00299806,USC00308910,,,,,USW00024152,USC00368873,,,,,USC00414670,,,,USC00459160,,,
,USW00026618,USC00029645,,USC00049102,USC00057656,,,,,,,,,,,,,,,,USW00004856,,,,USC00245735,,,,,USC00299820,USC00308932,,,,,USW00024230,USC00368905,,,,,USC00414710,,,,USC00459291,,,
,,USC00029652,,USC00049105,USC00058212,,,,,,,,,,,,,,,,USW00014814,,,,USC00245740,,,,,USS0005N04S,USC00309049,,,,,USW00024231,USC00369318,,,,,USC00414782,,,,USC00459455,,,
,,USC00029653,,USC00049185,USC00058436,,,,,,,,,,,,,,,,USW00014824,,,,USC00245754,,,,,USS0005N14S,USC00309189,,,,,USW00024274,USC00369362,,,,,USC00414848,,,,USC00459460,,,
,,USW00003192,,USC00049251,USC00058454,,,,,,,,,,,,,,,,USW00014850,,,,USC00245869,,,,,USS0005N16S,USC00309270,,,,,USW00024284,USC00369367,,,,,USC00415013,,,,USC00459463,,,
,,USW00003196,,USC00049390,USC00058501,,,,,,,,,,,,,,,,USW00014853,,,,USC00245870,,,,,USS0005N18S,USC00309690,,,,,USW00094107,USC00369407,,,,,USC00415120,,,,USS0017C06S,,,
,,USW00023160,,USC00049599,USC00058575,,,,,,,,,,,,,,,,USW00014858,,,,USC00245872,,,,,USS0005P08S,USW00004727,,,,,,USC00369420,,,,,USC00415193,,,,USS0021B17S,,,
,,,,USC00049677,USC00058742,,,,,,,,,,,,,,,,USW00054813,,,,USC00245873,,,,,USS0005P09S,USW00014747,,,,,,USC00369460,,,,,USC00415229,,,,USS0021B60S,,,
,,,,USC00049684,USC00058756,,,,,,,,,,,,,,,,,,,,USC00245876,,,,,USW00003027,USW00014748,,,,,,USC00369503,,,,,USC00415265,,,,USW00024163,,,
,,,,USC00049822,USC00058781,,,,,,,,,,,,,,,,,,,,USC00246472,,,,,USW00023081,USW00014750,,,,,,USC00369650,,,,,USC00415271,,,,USW00024219,,,
,,,,USC00049855,USC00058839,,,,,,,,,,,,,,,,,,,,USC00246475,,,,,USW00023090,USW00014772,,,,,,USC00369733,,,,,USC00415274,,,,USW00024222,,,
,,,,USC00049859,USC00058860,,,,,,,,,,,,,,,,,,,,USC00246534,,,,,USW00093063,USW00014797,,,,,,USC00369735,,,,,USC00415477,,,,USW00024223,,,
,,,,USC00049866,USC00058992,,,,,,,,,,,,,,,,,,,,USC00246601,,,,,,USW00054780,,,,,,USC00369738,,,,,USC00415579,,,,USW00024239,,,
,,,,USC00049881,USC00059183,,,,,,,,,,,,,,,,,,,,USC00246615,,,,,,USW00094704,,,,,,USC00369823,,,,,USC00415589,,,,USW00094225,,,
,,,,USS0019L42S,USC00059213,,,,,,,,,,,,,,,,,,,,USC00246618,,,,,,USW00094745,,,,,,USW00004787,,,,,USC00415596,,,,USW00094239,,,
,,,,USW00003104,USC00059265,,,,,,,,,,,,,,,,,,,,USC00246635,,,,,,USW00094790,,,,,,USW00013779,,,,,USC00415611,,,,,,,
,,,,USW00003159,USC00059275,,,,,,,,,,,,,,,,,,,,USC00246640,,,,,,,,,,,,USW00014712,,,,,USC00415836,,,,,,,
